#,QTY,Reference Designators,Manufacturer,Manufacturer P/N,Vendor,Vendor P/N,Description,Value,Package,Part Type,Assembly Location
1,7,"C1, C4, C5, C7, C9, C10, C12",Panasonic,ECE-A1VKS100,Mouser,667-ECE-A1VKS100,Aluminum Electrolytic Capacitors - Leaded 10UF 35V KS RADIAL,10u 25V,-0,Through Hole,PCB Top
2,2,"C3, C8",Vishay / Sprague,1C10X7R102K050B,Mouser,75-1C10X7R102K050B ,Multilayer Ceramic Capacitors MLCC - Leaded 1000pF 50volts X7R 10% 2.5mm L/S ,1n,-0,Through Hole,PCB Top
3,2,"C6, C11",Vishay / Sprague,1C10Z5U473M100B ,Mouser,75-1C10Z5U473M100B,Multilayer Ceramic Capacitors MLCC - Leaded 0.047uF 100volts Z5U 20% 2.5mm L/S ,47n,-0,Through Hole,PCB Top
4,1,D1,Comchip Technology ,1N4001-G ,Mouser,750-1N4001-G ,"Rectifiers VR=50V, IO=1A",-0,DO-41,Through Hole,PCB Top
5,1,FB1,Fair-Rite,2743001111,Mouser,623-2743001111,"EMI Filter Beads, Chips & Arrays 43 BEAD ON LEAD Z=68 OHM @ 100MHz",-0,-0,Through Hole,PCB Top
6,1,J1,-0,-0,Futurlec,IDCMH16 ,16 Pin Shrouded Male Headers IDC,-0,-0,Through Hole,PCB Top
7,4,"J2, J3, J4, J5",Wenzhou QingPu,PJ302M,Thonk,MECH_JK_PJ302M,"Right angled 3.5mm Jack Sockets w/Knurled Nuts, No Washers",-0,-0,Through Hole,PCB Top / Frontpanel
8,4,"Q1, Q3, Q4, Q6",ON Semiconductor / Fairchild ,2N3904BU ,Mouser,512-2N3904BU ,Bipolar Transistors - BJT NPN Transistor General Purpose ,-0,TO-92,Through Hole,PCB Top
9,2,"Q2, Q5",ON Semiconductor / Fairchild ,2N3906BU ,Mouser,512-2N3906BU ,Bipolar Transistors - BJT PNP Transistor General Purpose ,-0,TO-91,Through Hole,PCB Top
10,2,"R2, R15",-0,-0,Thonk,Mech_Pot_Alpha,Right Angle B10K Alpha 9mm Potentiometer,B10K,-0,Through Hole,PCB Top / Frontpanel
11,4,"R1, R3, R14, R16",KOA Speer,MF1/4DCT52R1003F,Mouser,660-MF1/4DCT52R1003F,Metal Film Resistors - Through Hole 100Kohms 1% 100PPM,100K,-0,Through Hole,PCB Top
12,2,"R4, R17",KOA Speer,MF1/4DCT52R1802F,Mouser,660-MF1/4DCT52R1802F,Metal Film Resistors - Through Hole 1/4W 18K ohm 1% ,18K,-0,Through Hole,PCB Top
13,6,"R5, R10, R11, R18, R23, R24",KOA Speer,MF1/4DCT52R5601F,Mouser,660-MF1/4DCT52R5601F,Metal Film Resistors - Through Hole 1/4 WATT 5.6K OHM 1% ,5.6K,-0,Through Hole,PCB Top
14,6,"R6, R7, R9, R19, R20, R22",KOA Speer,MF1/4DCT52R1001F,Mouser,660-MF1/4DCT52R1001F,Metal Film Resistors - Through Hole 1Kohms 1% 100PPM,1K,-0,Through Hole,PCB Top
15,2,"R8, R21",KOA Speer,MF1/4DCT52R4701F,Mouser,660-MF1/4DCT52R4701F,Metal Film Resistors - Through Hole 1/4W 4.7K ohm 1% ,4.7K,-0,Through Hole,PCB Top
16,2,"R12, R25 ",KOA Speer,MF1/4DCT52R2200F ,Mouser,660-MF1/4DCT52R2200F,Metal Film Resistors - Through Hole 1/4W 220 ohm 1% ,220,-0,Through Hole,PCB Top
17,2,"R13, R26",KOA Speer,MF1/4DCT52R7R50F,Mouser,660-MF1/4DCT52R7R50F,Metal Film Resistors - Through Hole 1/4W 7.5 ohm 1% ,7.5,-0,Through Hole,PCB Top
